DOI,URL,Access_through_publisher,Year_of_publication,Publisher,DOI-prefix,Publisher_VLOOKUP,,,,,,,,
10.1002/(SICI)1097-0258(19980115)17:1<101::AID-SIM727>3.0.CO;2-E,https://dx.doi.org/10.1002/(SICI)1097-0258(19980115)17:1<101::AID-SIM727>3.0.CO;2-E,yes,1998,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/(SICI)1097-4598(199603)19:3<269::AID-MUS1>3.0.CO;2-B,https://dx.doi.org/10.1002/(SICI)1097-4598(199603)19:3<269::AID-MUS1>3.0.CO;2-B,yes,1996,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/(SICI)1097-4598(199802)21:2<137::AID-MUS1>3.0.CO;2-C,https://dx.doi.org/10.1002/(SICI)1097-4598(199802)21:2<137::AID-MUS1>3.0.CO;2-C,yes,1998,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/(SICI)1099-1379(200002)21:1<113::AID-JOB6>3.0.CO;2-F,https://dx.doi.org/10.1002/(SICI)1099-1379(200002)21:1<113::AID-JOB6>3.0.CO;2-F,yes,2000,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/(SICI)1520-6505(1998)6:4<120::AID-EVAN2>3.0.CO;2-H,https://dx.doi.org/10.1002/(SICI)1520-6505(1998)6:4<120::AID-EVAN2>3.0.CO;2-H,yes,1998,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/(SICI)1520-6505(1998)7:1<8::AID-EVAN3>3.0.CO;2-C,https://dx.doi.org/10.1002/(SICI)1520-6505(1998)7:1<8::AID-EVAN3>3.0.CO;2-C,yes,1998,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/(sici)1521-401x(199912)27:6<422::aid-aheh422>3.0.co;2-e,https://dx.doi.org/10.1002/(sici)1521-401x(199912)27:6<422::aid-aheh422>3.0.co;2-e,yes,1999,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/0471140856.tx2112s57,https://dx.doi.org/10.1002/0471140856.tx2112s57,no,2013,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/0471140856.tx2306s57,https://dx.doi.org/10.1002/0471140856.tx2306s57,no,2013,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/0471142301.ns0220s65,https://dx.doi.org/10.1002/0471142301.ns0220s65,no,2013,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/0471142301.ns0828s58,https://dx.doi.org/10.1002/0471142301.ns0828s58,no,2012,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/0471142301.ns0833s70,https://dx.doi.org/10.1002/0471142301.ns0833s70,no,2015,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/0471142735.im0314s24,https://dx.doi.org/10.1002/0471142735.im0314s24,yes,2001,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/0471250953.bi0115s30,https://dx.doi.org/10.1002/0471250953.bi0115s30,no,2010,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/0471739464.ch3,https://dx.doi.org/10.1002/0471739464.ch3,no,2005,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/1097-0258(20001130)19:22<3051::AID-SIM604>3.0.CO;2-E,https://dx.doi.org/10.1002/1097-0258(20001130)19:22<3051::AID-SIM604>3.0.CO;2-E,yes,2000,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/1097-0258(20010115)20:1<93::AID-SIM655>3.0.CO;2-2,https://dx.doi.org/10.1002/1097-0258(20010115)20:1<93::AID-SIM655>3.0.CO;2-2,yes,2000,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/1097-4679(195007)6:3<307::AID-JCLP2270060338>3.0.CO;2-K,https://dx.doi.org/10.1002/1097-4679(195007)6:3<307::AID-JCLP2270060338>3.0.CO;2-K,no,1950,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/14356007,https://dx.doi.org/10.1002/14356007,no,2014,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/14651858.MR000030.pub2,https://dx.doi.org/10.1002/14651858.MR000030.pub2,yes,2012,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/2014GL059595,https://dx.doi.org/10.1002/2014GL059595,free from publisher,2014,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/9780470147658.chpsy0311,https://dx.doi.org/10.1002/9780470147658.chpsy0311,no,2007,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/9780471729259.mc15d02s27,https://dx.doi.org/10.1002/9780471729259.mc15d02s27,no,2012,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/9783527613984.ch5,https://dx.doi.org/10.1002/9783527613984.ch5,no,2007,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/acr.21596,https://dx.doi.org/10.1002/acr.21596,free from publisher,2012,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/adfm.201403631,https://dx.doi.org/10.1002/adfm.201403631,yes,2015,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/adhm.201300505,https://dx.doi.org/10.1002/adhm.201300505,no,2014,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/adhm.201500193,https://dx.doi.org/10.1002/adhm.201500193,no,2015,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/adma.201302042,https://dx.doi.org/10.1002/adma.201302042,yes,2013,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/adma.201305506,https://dx.doi.org/10.1002/adma.201305506,yes,2014,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/aheh.200390005,https://dx.doi.org/10.1002/aheh.200390005,yes,2003,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/aic.690110125,https://dx.doi.org/10.1002/aic.690110125,no,1965,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/aic.690300210,https://dx.doi.org/10.1002/aic.690300210,no,1984,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/aic.690421104,https://dx.doi.org/10.1002/aic.690421104,no,1996,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/aja.1001060304,https://dx.doi.org/10.1002/aja.1001060304,no,1960,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/ajh.2830170416,https://dx.doi.org/10.1002/ajh.2830170416,no,1984,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/ajp.10034,https://dx.doi.org/10.1002/ajp.10034,yes,2002,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/ajp.10053,https://dx.doi.org/10.1002/ajp.10053,yes,2002,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/ajp.20068,https://dx.doi.org/10.1002/ajp.20068,yes,2004,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/ana.22390,https://dx.doi.org/10.1002/ana.22390,yes,2011,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/ana.23550,https://dx.doi.org/10.1002/ana.23550,yes,2012,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/ana.410330204,https://dx.doi.org/10.1002/ana.410330204,no,1993,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/andp.19213690304,https://dx.doi.org/10.1002/andp.19213690304,no,1921,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/andp.19263851302,https://dx.doi.org/10.1002/andp.19263851302,no,1926,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/ange.19800920937,https://dx.doi.org/10.1002/ange.19800920937,no,1980,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/ange.19941062329,https://dx.doi.org/10.1002/ange.19941062329,no,1994,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/anie.200353436,https://dx.doi.org/10.1002/anie.200353436,yes,2004,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/anie.200802730,https://dx.doi.org/10.1002/anie.200802730,yes,2008,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/anie.201209809,https://dx.doi.org/10.1002/anie.201209809,yes,2013,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/anie.201301618,https://dx.doi.org/10.1002/anie.201301618,yes,2013,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/anie.201308433,https://dx.doi.org/10.1002/anie.201308433,yes,2014,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/anie.201405879,https://dx.doi.org/10.1002/anie.201405879,yes,2014,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/aqc.1220,https://dx.doi.org/10.1002/aqc.1220,yes,2011,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/ar.1091770307,https://dx.doi.org/10.1002/ar.1091770307,no,1973,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/ar.1092220102,https://dx.doi.org/10.1002/ar.1092220102,no,1988,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/art.34396,https://dx.doi.org/10.1002/art.34396,free from publisher,2012,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/art.34453,https://dx.doi.org/10.1002/art.34453,free from publisher,2012,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/asia.201200222,https://dx.doi.org/10.1002/asia.201200222,no,2012,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/aur.1469,https://dx.doi.org/10.1002/aur.1469,no,2015,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/bjs.5046,https://dx.doi.org/10.1002/bjs.5046,yes,2005,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/bse.414,https://dx.doi.org/10.1002/bse.414,yes,2004,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/bse.581,https://dx.doi.org/10.1002/bse.581,yes,2009,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/ca.22106,https://dx.doi.org/10.1002/ca.22106,yes,2013,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/cber.19300630522,https://dx.doi.org/10.1002/cber.19300630522,no,1930,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/cber.19721050606,https://dx.doi.org/10.1002/cber.19721050606,no,1972,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/cber.19871200406,https://dx.doi.org/10.1002/cber.19871200406,no,1987,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/cber.19871200527,https://dx.doi.org/10.1002/cber.19871200527,no,1987,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/ceat.270160506,https://dx.doi.org/10.1002/ceat.270160506,no,1993,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/chin.200431060,https://dx.doi.org/10.1002/chin.200431060,yes,2004,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/cii.416,https://dx.doi.org/10.1002/cii.416,no,2010,Taylor & Francis,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/cncr.28935,https://dx.doi.org/10.1002/cncr.28935,free from publisher,2015,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/cne.22665,https://dx.doi.org/10.1002/cne.22665,yes,2011,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/cne.900930310,https://dx.doi.org/10.1002/cne.900930310,no,1950,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/cphc.200700611,https://dx.doi.org/10.1002/cphc.200700611,yes,2008,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/da.20647,https://dx.doi.org/10.1002/da.20647,yes,2010,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/dneu.22100,https://dx.doi.org/10.1002/dneu.22100,free from publisher,2013,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/dneu.22121,https://dx.doi.org/10.1002/dneu.22121,free from publisher,2014,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/dneu.22200,https://dx.doi.org/10.1002/dneu.22200,free from publisher,2014,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/dta.1646,https://dx.doi.org/10.1002/dta.1646,no,2014,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/dvg.20732,https://dx.doi.org/10.1002/dvg.20732,free from publisher,2011,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/fut.3990150106,https://dx.doi.org/10.1002/fut.3990150106,no,1995,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/glia.20422,https://dx.doi.org/10.1002/glia.20422,yes,2007,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/glia.22712,https://dx.doi.org/10.1002/glia.22712,yes,2014,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/hec.866,https://dx.doi.org/10.1002/hec.866,yes,2004,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/hlca.19750580804,https://dx.doi.org/10.1002/hlca.19750580804,no,1975,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/hup.449,https://dx.doi.org/10.1002/hup.449,yes,2003,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/ijc.27671,https://dx.doi.org/10.1002/ijc.27671,free from publisher,2013,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/iroh.201301719,https://dx.doi.org/10.1002/iroh.201301719,yes,2014,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/iub.1294,https://dx.doi.org/10.1002/iub.1294,free from publisher,2014,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/j.1552-4604.1988.tb03205.x,https://dx.doi.org/10.1002/j.1552-4604.1988.tb03205.x,no,1998,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/jbm.a.34957,https://dx.doi.org/10.1002/jbm.a.34957,yes,2014,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/jbm.b.32773,https://dx.doi.org/10.1002/jbm.b.32773,yes,2012,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/jbm.b.33074,https://dx.doi.org/10.1002/jbm.b.33074,yes,2014,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/jcb.23455,https://dx.doi.org/10.1002/jcb.23455,yes,2012,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/jcc.10351,https://dx.doi.org/10.1002/jcc.10351,yes,2004,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/jcop.20172,https://dx.doi.org/10.1002/jcop.20172,yes,2007,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/jcop.20180,https://dx.doi.org/10.1002/jcop.20180,yes,2007,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/jcop.21642,https://dx.doi.org/10.1002/jcop.21642,yes,2014,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/jcp.22149,https://dx.doi.org/10.1002/jcp.22149,yes,2010,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/jcp.24346,https://dx.doi.org/10.1002/jcp.24346,yes,2013,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/jctb.5000431302,https://dx.doi.org/10.1002/jctb.5000431302,no,1924,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/jctb.5000431703,https://dx.doi.org/10.1002/jctb.5000431703,no,1924,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/jctb.5000432106,https://dx.doi.org/10.1002/jctb.5000432106,no,1924,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/jctb.5000441104,https://dx.doi.org/10.1002/jctb.5000441104,no,1925,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/jlac.19616500102,https://dx.doi.org/10.1002/jlac.19616500102,no,1962,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/jlac.19636660109,https://dx.doi.org/10.1002/jlac.19636660109,no,1963,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/jlac.19717470110,https://dx.doi.org/10.1002/jlac.19717470110,no,1971,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/jmor.1050940202,https://dx.doi.org/10.1002/jmor.1050940202,no,1954,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/jmor.1051660306,https://dx.doi.org/10.1002/jmor.1051660306,no,1980,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/jms.1190300806,https://dx.doi.org/10.1002/jms.1190300806,no,1995,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/jms.1908,https://dx.doi.org/10.1002/jms.1908,yes,2011,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/jnr.21437,https://dx.doi.org/10.1002/jnr.21437,yes,2008,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/job.4030150105,https://dx.doi.org/10.1002/job.4030150105,no,1994,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/jor.21267,https://dx.doi.org/10.1002/jor.21267,free from publisher,2011,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/jor.22794,https://dx.doi.org/10.1002/jor.22794,free from publisher,2015,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/jps.21955,https://dx.doi.org/10.1002/jps.21955,no,2010,Elsevier,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/jps.22371,https://dx.doi.org/10.1002/jps.22371,no,2011,Elsevier,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/jps.23008,https://dx.doi.org/10.1002/jps.23008,yes,2012,Elsevier,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/jps.23901,https://dx.doi.org/10.1002/jps.23901,yes,2014,Elsevier,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/jps.2600620416,https://dx.doi.org/10.1002/jps.2600620416,no,1973,Elsevier,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/jps.2600770317,https://dx.doi.org/10.1002/jps.2600770317,no,1988,Elsevier,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/jsfa.2740290908,https://dx.doi.org/10.1002/jsfa.2740290908,no,1978,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/jtr.2040,https://dx.doi.org/10.1002/jtr.2040,yes,2016,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/kin.20026,https://dx.doi.org/10.1002/kin.20026,yes,2004,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/mabi.200900176,https://dx.doi.org/10.1002/mabi.200900176,yes,2009,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/mabi.201100357,https://dx.doi.org/10.1002/mabi.201100357,yes,2012,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/mas.1280140104,https://dx.doi.org/10.1002/mas.1280140104,no,1995,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/mds.870131303,https://dx.doi.org/10.1002/mds.870131303,no,1998,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/mnfr.201200595,https://dx.doi.org/10.1002/mnfr.201200595,yes,2013,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/mrc.1260290909,https://dx.doi.org/10.1002/mrc.1260290909,no,1991,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/mrm.1085,https://dx.doi.org/10.1002/mrm.1085,free from publisher,2001,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/mrm.1241,https://dx.doi.org/10.1002/mrm.1241,free from publisher,2001,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/mrm.1910140218,https://dx.doi.org/10.1002/mrm.1910140218,no,1990,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/mrm.1910290310,https://dx.doi.org/10.1002/mrm.1910290310,no,1993,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/mrm.20546,https://dx.doi.org/10.1002/mrm.20546,free from publisher,2005,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/mus.22298,https://dx.doi.org/10.1002/mus.22298,yes,2012,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/mus.880170313,https://dx.doi.org/10.1002/mus.880170313,no,1994,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/mus.880170902,https://dx.doi.org/10.1002/mus.880170902,no,1994,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/mus.880181011,https://dx.doi.org/10.1002/mus.880181011,no,1995,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/nbm.1465,https://dx.doi.org/10.1002/nbm.1465,yes,2010,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/nbm.1690,https://dx.doi.org/10.1002/nbm.1690,yes,2011,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/num.1690100505,https://dx.doi.org/10.1002/num.1690100505,no,1994,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/num.21875,https://dx.doi.org/10.1002/num.21875,yes,2014,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/pad.4230140503,https://dx.doi.org/10.1002/pad.4230140503,no,1994,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/path.1476,https://dx.doi.org/10.1002/path.1476,yes,2004,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/path.1700600308,https://dx.doi.org/10.1002/path.1700600308,no,1948,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/path.1711150409,https://dx.doi.org/10.1002/path.1711150409,no,1975,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/pi.4990250112,https://dx.doi.org/10.1002/pi.4990250112,no,1991,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/prca.201200069,https://dx.doi.org/10.1002/prca.201200069,yes,2013,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
10.1002/psp.646,https://dx.doi.org/10.1002/psp.646,yes,2011,Wiley,10.1002,Wiley Blackwell (John Wiley & Sons),,,,,,,,
